item_id,system,catalog,condition_type,qid,category,answer_chars,refusal,n_mag_values,mag_out_of_range,n_dates,dates_out_of_span,months_out_of_span,lat_out_of_box,lon_out_of_box,conflation_marker,any_out_of_catalog
graphrag_post|qiaojia_only|B9,graphrag_post,qiaojia,only,B9,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|B10,graphrag_post,qiaojia,only,B10,B,224,none,3,,1,,,,,,False
graphrag_post|qiaojia_only|B11,graphrag_post,qiaojia,only,B11,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|B12,graphrag_post,qiaojia,only,B12,B,267,none,2,,0,,,,,,False
graphrag_post|qiaojia_only|B13,graphrag_post,qiaojia,only,B13,B,604,none,5,,4,,,,,,False
graphrag_post|qiaojia_only|B14,graphrag_post,qiaojia,only,B14,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|B15,graphrag_post,qiaojia,only,B15,B,297,none,2,,1,,,,,,False
graphrag_post|qiaojia_only|B16,graphrag_post,qiaojia,only,B16,B,601,none,0,,0,,,,,,False
graphrag_post|qiaojia_only|B17,graphrag_post,qiaojia,only,B17,B,120,none,2,,2,,,,,,False
graphrag_post|qiaojia_only|B18,graphrag_post,qiaojia,only,B18,B,260,none,1,,0,,,,,,False
graphrag_post|qiaojia_only|B19,graphrag_post,qiaojia,only,B19,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|B20,graphrag_post,qiaojia,only,B20,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|C1,graphrag_post,qiaojia,only,C1,C,524,partial,0,,0,,,,,,False
graphrag_post|qiaojia_only|C2,graphrag_post,qiaojia,only,C2,C,538,none,5,,0,,,,,,False
graphrag_post|qiaojia_only|C3,graphrag_post,qiaojia,only,C3,C,477,none,0,,0,,,,,,False
graphrag_post|qiaojia_only|C4,graphrag_post,qiaojia,only,C4,C,223,none,0,,3,2021-03-15;2021-04-10;2021-05-22,,,,,True
graphrag_post|qiaojia_only|C5,graphrag_post,qiaojia,only,C5,C,83,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|C6,graphrag_post,qiaojia,only,C6,C,196,partial,0,,0,,,,,,False
graphrag_post|qiaojia_only|C7,graphrag_post,qiaojia,only,C7,C,447,none,0,,0,,,,,,False
graphrag_post|qiaojia_only|C8,graphrag_post,qiaojia,only,C8,C,281,none,0,,0,,,,,,False
graphrag_post|qiaojia_only|C9,graphrag_post,qiaojia,only,C9,C,457,none,0,,0,,,,,,False
graphrag_post|qiaojia_only|C10,graphrag_post,qiaojia,only,C10,C,833,none,6,,1,,,,,,False
graphrag_post|qiaojia_only|C11,graphrag_post,qiaojia,only,C11,C,431,none,0,,0,,2019-05;2020-08,,,,True
graphrag_post|qiaojia_only|C12,graphrag_post,qiaojia,only,C12,C,182,partial,0,,0,,,,,,False
graphrag_post|qiaojia_only|C13,graphrag_post,qiaojia,only,C13,C,668,none,0,,0,,,,,latitude ~23 N is ~400 km south of the catalog,True
graphrag_post|qiaojia_only|C14,graphrag_post,qiaojia,only,C14,C,761,none,4,,1,,,,,,False
graphrag_post|qiaojia_only|C15,graphrag_post,qiaojia,only,C15,C,538,none,0,,0,,,25.6;25.7;25.8;25.9,,,True
graphrag_post|qiaojia_only|C16,graphrag_post,qiaojia,only,C16,C,456,partial,0,,0,,,,,,False
graphrag_post|qiaojia_only|C17,graphrag_post,qiaojia,only,C17,C,296,partial,0,,0,,,,,,False
graphrag_post|qiaojia_only|C18,graphrag_post,qiaojia,only,C18,C,107,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|C19,graphrag_post,qiaojia,only,C19,C,758,none,0,,0,,,,,,False
graphrag_post|qiaojia_only|C20,graphrag_post,qiaojia,only,C20,C,642,none,2,,1,,,,,,False
graphrag_post|qiaojia_only|D1,graphrag_post,qiaojia,only,D1,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D2,graphrag_post,qiaojia,only,D2,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D3,graphrag_post,qiaojia,only,D3,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D4,graphrag_post,qiaojia,only,D4,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D5,graphrag_post,qiaojia,only,D5,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D6,graphrag_post,qiaojia,only,D6,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D7,graphrag_post,qiaojia,only,D7,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D8,graphrag_post,qiaojia,only,D8,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D9,graphrag_post,qiaojia,only,D9,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D10,graphrag_post,qiaojia,only,D10,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D11,graphrag_post,qiaojia,only,D11,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D12,graphrag_post,qiaojia,only,D12,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D13,graphrag_post,qiaojia,only,D13,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D14,graphrag_post,qiaojia,only,D14,D,803,none,2,,1,,,,,,False
graphrag_post|qiaojia_only|D15,graphrag_post,qiaojia,only,D15,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D16,graphrag_post,qiaojia,only,D16,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D17,graphrag_post,qiaojia,only,D17,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D18,graphrag_post,qiaojia,only,D18,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|D19,graphrag_post,qiaojia,only,D19,D,715,none,0,,2,,,,,,False
graphrag_post|qiaojia_only|D20,graphrag_post,qiaojia,only,D20,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|E1,graphrag_post,qiaojia,only,E1,E,695,none,2,,0,,,,,,False
graphrag_post|qiaojia_only|E2,graphrag_post,qiaojia,only,E2,E,644,none,0,,1,,,,,,False
graphrag_post|qiaojia_only|E3,graphrag_post,qiaojia,only,E3,E,420,none,0,,1,,,,,,False
graphrag_post|qiaojia_only|E4,graphrag_post,qiaojia,only,E4,E,616,none,3,,1,,,,,,False
graphrag_post|qiaojia_only|E5,graphrag_post,qiaojia,only,E5,E,786,none,5,,3,,,,,,False
graphrag_post|qiaojia_only|E6,graphrag_post,qiaojia,only,E6,E,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|E7,graphrag_post,qiaojia,only,E7,E,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|E8,graphrag_post,qiaojia,only,E8,E,534,none,6,,3,,,,,,False
graphrag_post|qiaojia_only|E9,graphrag_post,qiaojia,only,E9,E,307,partial,1,,1,,,,,,False
graphrag_post|qiaojia_only|E10,graphrag_post,qiaojia,only,E10,E,734,none,4,,3,,,,,,False
graphrag_post|qiaojia_only|E11,graphrag_post,qiaojia,only,E11,E,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|E12,graphrag_post,qiaojia,only,E12,E,510,none,0,,1,,,,,,False
graphrag_post|qiaojia_only|E13,graphrag_post,qiaojia,only,E13,E,443,none,0,,2,,,,,,False
graphrag_post|qiaojia_only|E14,graphrag_post,qiaojia,only,E14,E,615,none,2,,2,,,,,,False
graphrag_post|qiaojia_only|E15,graphrag_post,qiaojia,only,E15,E,641,partial,6,,0,,,,,,False
graphrag_post|qiaojia_only|E16,graphrag_post,qiaojia,only,E16,E,735,none,6,,1,,,,,,False
graphrag_post|qiaojia_only|E17,graphrag_post,qiaojia,only,E17,E,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_only|E18,graphrag_post,qiaojia,only,E18,E,984,none,6,,4,,,,,,False
graphrag_post|qiaojia_only|E19,graphrag_post,qiaojia,only,E19,E,433,none,3,,1,,,,,,False
graphrag_post|qiaojia_only|E20,graphrag_post,qiaojia,only,E20,E,646,none,1,,0,,,,,,False
graphrag_post|qiaojia_narrative|A1,graphrag_post,qiaojia,narrative,A1,A,881,none,2,,1,,,,,,False
graphrag_post|qiaojia_narrative|A2,graphrag_post,qiaojia,narrative,A2,A,291,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|A3,graphrag_post,qiaojia,narrative,A3,A,929,none,2,,1,,,,,,False
graphrag_post|qiaojia_narrative|A4,graphrag_post,qiaojia,narrative,A4,A,812,none,6,,0,,,,,,False
graphrag_post|qiaojia_narrative|A5,graphrag_post,qiaojia,narrative,A5,A,555,none,4,,2,,,,,,False
graphrag_post|qiaojia_narrative|A6,graphrag_post,qiaojia,narrative,A6,A,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|A7,graphrag_post,qiaojia,narrative,A7,A,868,none,4,,2,,,,,,False
graphrag_post|qiaojia_narrative|A8,graphrag_post,qiaojia,narrative,A8,A,644,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|A9,graphrag_post,qiaojia,narrative,A9,A,488,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|A10,graphrag_post,qiaojia,narrative,A10,A,516,none,5,,2,,,,,,False
graphrag_post|qiaojia_narrative|A11,graphrag_post,qiaojia,narrative,A11,A,832,partial,4,,1,,,,,,False
graphrag_post|qiaojia_narrative|A12,graphrag_post,qiaojia,narrative,A12,A,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|A13,graphrag_post,qiaojia,narrative,A13,A,305,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|A14,graphrag_post,qiaojia,narrative,A14,A,337,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|A15,graphrag_post,qiaojia,narrative,A15,A,469,none,0,,1,,,,,,False
graphrag_post|qiaojia_narrative|A16,graphrag_post,qiaojia,narrative,A16,A,111,none,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|A17,graphrag_post,qiaojia,narrative,A17,A,648,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|A18,graphrag_post,qiaojia,narrative,A18,A,472,none,1,,2,,,,,,False
graphrag_post|qiaojia_narrative|A19,graphrag_post,qiaojia,narrative,A19,A,718,none,4,,1,,,,,,False
graphrag_post|qiaojia_narrative|A20,graphrag_post,qiaojia,narrative,A20,A,1126,none,2,,2,,,,,,False
graphrag_post|qiaojia_narrative|B1,graphrag_post,qiaojia,narrative,B1,B,119,none,0,,1,,,,,,False
graphrag_post|qiaojia_narrative|B2,graphrag_post,qiaojia,narrative,B2,B,336,none,3,,1,,,1.70629,,,True
graphrag_post|qiaojia_narrative|B3,graphrag_post,qiaojia,narrative,B3,B,397,none,5,,2,,,,,,False
graphrag_post|qiaojia_narrative|B4,graphrag_post,qiaojia,narrative,B4,B,445,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|B5,graphrag_post,qiaojia,narrative,B5,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|B6,graphrag_post,qiaojia,narrative,B6,B,362,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|B7,graphrag_post,qiaojia,narrative,B7,B,109,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|B8,graphrag_post,qiaojia,narrative,B8,B,512,none,0,,2,,,1.70629,,,True
graphrag_post|qiaojia_narrative|B9,graphrag_post,qiaojia,narrative,B9,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|B10,graphrag_post,qiaojia,narrative,B10,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|B11,graphrag_post,qiaojia,narrative,B11,B,305,partial,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|B12,graphrag_post,qiaojia,narrative,B12,B,289,none,2,,0,,,,,,False
graphrag_post|qiaojia_narrative|B13,graphrag_post,qiaojia,narrative,B13,B,629,none,5,,2,,,1.70629,,,True
graphrag_post|qiaojia_narrative|B14,graphrag_post,qiaojia,narrative,B14,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|B15,graphrag_post,qiaojia,narrative,B15,B,409,none,2,,2,,,,,,False
graphrag_post|qiaojia_narrative|B16,graphrag_post,qiaojia,narrative,B16,B,555,none,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|B17,graphrag_post,qiaojia,narrative,B17,B,124,none,0,,1,,,,,,False
graphrag_post|qiaojia_narrative|B18,graphrag_post,qiaojia,narrative,B18,B,238,none,0,,1,,,,,,False
graphrag_post|qiaojia_narrative|B19,graphrag_post,qiaojia,narrative,B19,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|B20,graphrag_post,qiaojia,narrative,B20,B,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C1,graphrag_post,qiaojia,narrative,C1,C,396,partial,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C2,graphrag_post,qiaojia,narrative,C2,C,395,none,4,,0,,,,,,False
graphrag_post|qiaojia_narrative|C3,graphrag_post,qiaojia,narrative,C3,C,484,none,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C4,graphrag_post,qiaojia,narrative,C4,C,222,none,0,,3,2021-03-22;2021-04-15;2021-05-10,,,,,True
graphrag_post|qiaojia_narrative|C5,graphrag_post,qiaojia,narrative,C5,C,83,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C6,graphrag_post,qiaojia,narrative,C6,C,197,partial,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C7,graphrag_post,qiaojia,narrative,C7,C,390,partial,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C8,graphrag_post,qiaojia,narrative,C8,C,453,none,0,,3,,,,,,False
graphrag_post|qiaojia_narrative|C9,graphrag_post,qiaojia,narrative,C9,C,406,none,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C10,graphrag_post,qiaojia,narrative,C10,C,183,partial,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C11,graphrag_post,qiaojia,narrative,C11,C,442,none,0,,0,,2019-05;2020-08,,,,True
graphrag_post|qiaojia_narrative|C12,graphrag_post,qiaojia,narrative,C12,C,179,partial,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C13,graphrag_post,qiaojia,narrative,C13,C,751,none,0,,0,,,,,latitude ~23 N is ~400 km south of the catalog,True
graphrag_post|qiaojia_narrative|C14,graphrag_post,qiaojia,narrative,C14,C,567,none,2,5;5.1,0,,,,,,True
graphrag_post|qiaojia_narrative|C15,graphrag_post,qiaojia,narrative,C15,C,540,none,0,,0,,,25.5;25.6;25.7;25.8,,,True
graphrag_post|qiaojia_narrative|C16,graphrag_post,qiaojia,narrative,C16,C,447,partial,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C17,graphrag_post,qiaojia,narrative,C17,C,299,partial,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C18,graphrag_post,qiaojia,narrative,C18,C,107,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C19,graphrag_post,qiaojia,narrative,C19,C,485,partial,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|C20,graphrag_post,qiaojia,narrative,C20,C,579,none,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D1,graphrag_post,qiaojia,narrative,D1,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D2,graphrag_post,qiaojia,narrative,D2,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D3,graphrag_post,qiaojia,narrative,D3,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D4,graphrag_post,qiaojia,narrative,D4,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D5,graphrag_post,qiaojia,narrative,D5,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D6,graphrag_post,qiaojia,narrative,D6,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D7,graphrag_post,qiaojia,narrative,D7,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D8,graphrag_post,qiaojia,narrative,D8,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D9,graphrag_post,qiaojia,narrative,D9,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D10,graphrag_post,qiaojia,narrative,D10,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D11,graphrag_post,qiaojia,narrative,D11,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D12,graphrag_post,qiaojia,narrative,D12,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D13,graphrag_post,qiaojia,narrative,D13,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D14,graphrag_post,qiaojia,narrative,D14,D,986,none,4,,1,,,,,,False
graphrag_post|qiaojia_narrative|D15,graphrag_post,qiaojia,narrative,D15,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D16,graphrag_post,qiaojia,narrative,D16,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D17,graphrag_post,qiaojia,narrative,D17,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D18,graphrag_post,qiaojia,narrative,D18,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|D19,graphrag_post,qiaojia,narrative,D19,D,622,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|D20,graphrag_post,qiaojia,narrative,D20,D,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|E1,graphrag_post,qiaojia,narrative,E1,E,571,none,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|E2,graphrag_post,qiaojia,narrative,E2,E,615,none,0,,1,,,,,,False
graphrag_post|qiaojia_narrative|E3,graphrag_post,qiaojia,narrative,E3,E,336,none,0,,1,,,,,,False
graphrag_post|qiaojia_narrative|E4,graphrag_post,qiaojia,narrative,E4,E,737,none,2,,1,,,,,,False
graphrag_post|qiaojia_narrative|E5,graphrag_post,qiaojia,narrative,E5,E,584,none,2,,1,,,,,,False
graphrag_post|qiaojia_narrative|E6,graphrag_post,qiaojia,narrative,E6,E,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|E7,graphrag_post,qiaojia,narrative,E7,E,418,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|E8,graphrag_post,qiaojia,narrative,E8,E,467,none,3,,2,,,,,,False
graphrag_post|qiaojia_narrative|E9,graphrag_post,qiaojia,narrative,E9,E,391,partial,2,,1,,,,,,False
graphrag_post|qiaojia_narrative|E10,graphrag_post,qiaojia,narrative,E10,E,974,none,0,,1,,,,,,False
graphrag_post|qiaojia_narrative|E11,graphrag_post,qiaojia,narrative,E11,E,480,none,0,,1,,,,,,False
graphrag_post|qiaojia_narrative|E12,graphrag_post,qiaojia,narrative,E12,E,584,none,0,,2,,,,,,False
graphrag_post|qiaojia_narrative|E13,graphrag_post,qiaojia,narrative,E13,E,441,none,0,,1,,,,,,False
graphrag_post|qiaojia_narrative|E14,graphrag_post,qiaojia,narrative,E14,E,720,none,0,,1,,,,,,False
graphrag_post|qiaojia_narrative|E15,graphrag_post,qiaojia,narrative,E15,E,876,none,6,,1,,,,,,False
graphrag_post|qiaojia_narrative|E16,graphrag_post,qiaojia,narrative,E16,E,612,none,2,,2,,,,,,False
graphrag_post|qiaojia_narrative|E17,graphrag_post,qiaojia,narrative,E17,E,334,partial,4,,1,,,,,,False
graphrag_post|qiaojia_narrative|E18,graphrag_post,qiaojia,narrative,E18,E,75,full,0,,0,,,,,,False
graphrag_post|qiaojia_narrative|E19,graphrag_post,qiaojia,narrative,E19,E,526,none,4,,2,,,,,,False
graphrag_post|qiaojia_narrative|E20,graphrag_post,qiaojia,narrative,E20,E,695,none,0,,0,,,,,,False
graphrag_post|ridgecrest_only|A1,graphrag_post,ridgecrest,only,A1,A,1066,none,2,,1,,,,,,False
graphrag_post|ridgecrest_only|A2,graphrag_post,ridgecrest,only,A2,A,466,none,2,,1,,,,,,False
graphrag_post|ridgecrest_only|A3,graphrag_post,ridgecrest,only,A3,A,1052,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|A4,graphrag_post,ridgecrest,only,A4,A,797,none,4,,1,,,,,,False
graphrag_post|ridgecrest_only|A5,graphrag_post,ridgecrest,only,A5,A,764,none,3,,0,,,,,,False
graphrag_post|ridgecrest_only|A6,graphrag_post,ridgecrest,only,A6,A,654,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|A7,graphrag_post,ridgecrest,only,A7,A,777,none,2,,1,,,,,,False
graphrag_post|ridgecrest_only|A8,graphrag_post,ridgecrest,only,A8,A,804,none,0,,0,,,,,,False
graphrag_post|ridgecrest_only|A9,graphrag_post,ridgecrest,only,A9,A,647,none,0,,0,,,,,,False
graphrag_post|ridgecrest_only|A10,graphrag_post,ridgecrest,only,A10,A,658,none,2,,0,,,,,,False
graphrag_post|ridgecrest_only|A11,graphrag_post,ridgecrest,only,A11,A,781,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|A12,graphrag_post,ridgecrest,only,A12,A,1149,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|A13,graphrag_post,ridgecrest,only,A13,A,348,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|A14,graphrag_post,ridgecrest,only,A14,A,783,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|A15,graphrag_post,ridgecrest,only,A15,A,585,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|A16,graphrag_post,ridgecrest,only,A16,A,222,none,2,,1,,,,,,False
graphrag_post|ridgecrest_only|A17,graphrag_post,ridgecrest,only,A17,A,970,none,2,,0,,,,,,False
graphrag_post|ridgecrest_only|A18,graphrag_post,ridgecrest,only,A18,A,772,none,3,,1,,,,,,False
graphrag_post|ridgecrest_only|A19,graphrag_post,ridgecrest,only,A19,A,657,none,6,,1,,,,,,False
graphrag_post|ridgecrest_only|A20,graphrag_post,ridgecrest,only,A20,A,1100,none,1,,1,,,,,,False
graphrag_post|ridgecrest_only|B1,graphrag_post,ridgecrest,only,B1,B,445,none,0,,0,,,,,,False
graphrag_post|ridgecrest_only|B2,graphrag_post,ridgecrest,only,B2,B,353,none,1,,1,,,,,,False
graphrag_post|ridgecrest_only|B3,graphrag_post,ridgecrest,only,B3,B,441,none,5,,1,,,,,,False
graphrag_post|ridgecrest_only|B4,graphrag_post,ridgecrest,only,B4,B,454,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|B5,graphrag_post,ridgecrest,only,B5,B,356,none,0,,0,,,,,,False
graphrag_post|ridgecrest_only|B6,graphrag_post,ridgecrest,only,B6,B,75,full,0,,0,,,,,,False
graphrag_post|ridgecrest_only|B7,graphrag_post,ridgecrest,only,B7,B,302,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|B8,graphrag_post,ridgecrest,only,B8,B,507,none,5,,1,,,,,,False
graphrag_post|ridgecrest_only|B9,graphrag_post,ridgecrest,only,B9,B,215,partial,0,,1,,,,,,False
graphrag_post|ridgecrest_only|B10,graphrag_post,ridgecrest,only,B10,B,301,none,0,,0,,,,,,False
graphrag_post|ridgecrest_only|B11,graphrag_post,ridgecrest,only,B11,B,75,full,0,,0,,,,,,False
graphrag_post|ridgecrest_only|B12,graphrag_post,ridgecrest,only,B12,B,360,none,1,,0,,,,,,False
graphrag_post|ridgecrest_only|B13,graphrag_post,ridgecrest,only,B13,B,751,none,5,,1,,,,,,False
graphrag_post|ridgecrest_only|B14,graphrag_post,ridgecrest,only,B14,B,499,none,6,,0,,,,,,False
graphrag_post|ridgecrest_only|B15,graphrag_post,ridgecrest,only,B15,B,579,none,2,,0,,,,,,False
graphrag_post|ridgecrest_only|B16,graphrag_post,ridgecrest,only,B16,B,803,none,0,,0,,,,,,False
graphrag_post|ridgecrest_only|B17,graphrag_post,ridgecrest,only,B17,B,716,none,10,1,1,,,,,,True
graphrag_post|ridgecrest_only|B18,graphrag_post,ridgecrest,only,B18,B,427,none,0,,0,,,,,,False
graphrag_post|ridgecrest_only|B19,graphrag_post,ridgecrest,only,B19,B,305,partial,0,,0,,,,,,False
graphrag_post|ridgecrest_only|B20,graphrag_post,ridgecrest,only,B20,B,185,none,0,,0,,,,,,False
graphrag_post|ridgecrest_only|C1,graphrag_post,ridgecrest,only,C1,C,840,none,2,,1,,,,,,False
graphrag_post|ridgecrest_only|C2,graphrag_post,ridgecrest,only,C2,C,654,none,3,,1,,,,,,False
graphrag_post|ridgecrest_only|C3,graphrag_post,ridgecrest,only,C3,C,830,none,6,,1,,,,,,False
graphrag_post|ridgecrest_only|C4,graphrag_post,ridgecrest,only,C4,C,704,none,5,,1,,,,,,False
graphrag_post|ridgecrest_only|C5,graphrag_post,ridgecrest,only,C5,C,1019,none,13,,1,,,,,,False
graphrag_post|ridgecrest_only|C6,graphrag_post,ridgecrest,only,C6,C,746,none,5,,1,,,,,,False
graphrag_post|ridgecrest_only|C7,graphrag_post,ridgecrest,only,C7,C,531,partial,0,,1,,,,,,False
graphrag_post|ridgecrest_only|C8,graphrag_post,ridgecrest,only,C8,C,675,partial,0,,1,,,,,,False
graphrag_post|ridgecrest_only|C9,graphrag_post,ridgecrest,only,C9,C,990,none,9,,1,,,,,,False
graphrag_post|ridgecrest_only|C10,graphrag_post,ridgecrest,only,C10,C,757,none,5,,1,,,,,,False
graphrag_post|ridgecrest_only|C11,graphrag_post,ridgecrest,only,C11,C,789,none,3,,1,,,,,,False
graphrag_post|ridgecrest_only|C12,graphrag_post,ridgecrest,only,C12,C,780,none,1,,1,,,,,,False
graphrag_post|ridgecrest_only|C13,graphrag_post,ridgecrest,only,C13,C,497,none,0,,1,,,,,M7.1 mainshock misdated to 2019-07-05 (true: 2019-07-06 UTC),True
graphrag_post|ridgecrest_only|C14,graphrag_post,ridgecrest,only,C14,C,706,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|C15,graphrag_post,ridgecrest,only,C15,C,645,none,0,,4,,,,117.6;117.61;117.62;117.63,M7.1 mainshock misdated to 2019-07-05 (true: 2019-07-06 UTC),True
graphrag_post|ridgecrest_only|C16,graphrag_post,ridgecrest,only,C16,C,659,none,2,,1,,,,,,False
graphrag_post|ridgecrest_only|C17,graphrag_post,ridgecrest,only,C17,C,1831,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|C18,graphrag_post,ridgecrest,only,C18,C,709,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|C19,graphrag_post,ridgecrest,only,C19,C,716,none,4,,1,,,,,,False
graphrag_post|ridgecrest_only|C20,graphrag_post,ridgecrest,only,C20,C,626,none,0,,1,,,,,,False
graphrag_post|ridgecrest_only|D1,graphrag_post,ridgecrest,only,D1,D,75,full,0,,0,,,,,,False
graphrag_post|ridgecrest_only|D2,graphrag_post,ridgecrest,only,D2,D,75,full,0,,0,,,,,,False
graphrag_post|ridgecrest_only|D3,graphrag_post,ridgecrest,only,D3,D,75,full,0,,0,,,,,,False
graphrag_post|ridgecrest_only|D4,graphrag_post,ridgecrest,only,D4,D,688,partial,2,,1,,,,,,False
graphrag_post|ridgecrest_only|D5,graphrag_post,ridgecrest,only,D5,D,75,full,0,,0,,,,,,False
graphrag_post|ridgecrest_only|D6,graphrag_post,ridgecrest,only,D6,D,75,full,0,,0,,,,,,False
graphrag_post|ridgecrest_only|D7,graphrag_post,ridgecrest,only,D7,D,75,full,0,,0,,,,,,False
graphrag_post|ridgecrest_only|D8,graphrag_post,ridgecrest,only,D8,D,475,partial,1,,1,,,,,,False
graphrag_post|ridgecrest_only|D9,graphrag_post,ridgecrest,only,D9,D,75,full,0,,0,,,,,,False
graphrag_post|ridgecrest_only|D10,graphrag_post,ridgecrest,only,D10,D,75,full,0,,0,,,,,,False
